Week,Fabric Type,Sales Volume
2027-02-28,acrylic,146.4
2027-03-31,acrylic,96.0
2027-04-30,acrylic,112.5
2027-05-31,acrylic,107.0
2027-06-30,acrylic,94.0
2027-07-31,acrylic,100.0
2027-08-31,acrylic,101.0
2027-09-30,acrylic,102.8
2027-10-31,acrylic,102.0
2027-11-30,acrylic,117.5
2023-12-31,canvas,150.0
2024-01-31,canvas,171.5
2024-02-29,canvas,172.0
2024-03-31,canvas,166.8
2024-04-30,canvas,173.5
2024-05-31,canvas,188.0
2024-06-30,canvas,182.0
2024-07-31,canvas,170.5
2024-08-31,canvas,183.0
2024-09-30,canvas,179.2
2024-10-31,canvas,166.5
2024-11-30,canvas,166.5
2024-12-31,canvas,168.0
2025-01-31,canvas,150.0
2025-02-28,canvas,171.5
2025-03-31,canvas,172.0
2025-04-30,canvas,166.8
2025-05-31,canvas,173.5
2025-06-30,canvas,188.0
2025-07-31,canvas,182.0
2025-08-31,canvas,170.5
2025-09-30,canvas,183.0
2025-10-31,canvas,179.2
2025-11-30,canvas,166.5
2025-12-31,canvas,166.5
2026-01-31,canvas,168.0
2026-02-28,canvas,150.0
2026-03-31,canvas,171.5
2026-04-30,canvas,172.0
2026-05-31,canvas,166.8
2026-06-30,canvas,173.5
2026-07-31,canvas,188.0
2026-08-31,canvas,182.0
2026-09-30,canvas,170.5
2026-10-31,canvas,183.0
2026-11-30,canvas,179.2
2026-12-31,canvas,166.5
2027-01-31,canvas,166.5
2027-02-28,canvas,168.0
2027-03-31,canvas,150.0
2027-04-30,canvas,171.5
2027-05-31,canvas,172.0
2027-06-30,canvas,166.8
2027-07-31,canvas,173.5
2027-08-31,canvas,188.0
2027-09-30,canvas,182.0
2027-10-31,canvas,170.5
2027-11-30,canvas,183.0
2023-12-31,cashmere,110.0
2024-01-31,cashmere,85.0
2024-02-29,cashmere,89.0
2024-03-31,cashmere,66.4
2024-04-30,cashmere,69.0
2024-05-31,cashmere,53.5
2024-06-30,cashmere,34.8
2024-07-31,cashmere,26.5
2024-08-31,cashmere,44.0
2024-09-30,cashmere,82.4
2024-10-31,cashmere,146.0
2024-11-30,cashmere,149.5
2024-12-31,cashmere,157.6
2025-01-31,cashmere,110.0
2025-02-28,cashmere,85.0
2025-03-31,cashmere,89.0
2025-04-30,cashmere,66.4
2025-05-31,cashmere,69.0
2025-06-30,cashmere,53.5
2025-07-31,cashmere,34.8
2025-08-31,cashmere,26.5
2025-09-30,cashmere,44.0
2025-10-31,cashmere,82.4
2025-11-30,cashmere,146.0
2025-12-31,cashmere,149.5
2026-01-31,cashmere,157.6
2026-02-28,cashmere,110.0
2026-03-31,cashmere,85.0
2026-04-30,cashmere,89.0
2026-05-31,cashmere,66.4
2026-06-30,cashmere,69.0
2026-07-31,cashmere,53.5
2026-08-31,cashmere,34.8
2026-09-30,cashmere,26.5
2026-10-31,cashmere,44.0
2026-11-30,cashmere,82.4
2026-12-31,cashmere,146.0
2027-01-31,cashmere,149.5
2027-02-28,cashmere,157.6
2027-03-31,cashmere,110.0
2027-04-30,cashmere,85.0
2027-05-31,cashmere,89.0
2027-06-30,cashmere,66.4
2027-07-31,cashmere,69.0
2027-08-31,cashmere,53.5
2027-09-30,cashmere,34.8
2027-10-31,cashmere,26.5
2027-11-30,cashmere,44.0
2023-12-31,corduroy,78.0
2024-01-31,corduroy,77.5
2024-02-29,corduroy,80.0
2024-03-31,corduroy,58.0
2024-04-30,corduroy,62.0
2024-05-31,corduroy,66.0
2024-06-30,corduroy,52.4
2024-07-31,corduroy,92.5
2024-08-31,corduroy,82.5
2024-09-30,corduroy,111.6
2024-10-31,corduroy,132.5
2024-11-30,corduroy,107.0
2024-12-31,corduroy,117.6
2025-01-31,corduroy,78.0
2025-02-28,corduroy,77.5
2025-03-31,corduroy,80.0
2025-04-30,corduroy,58.0
2025-05-31,corduroy,62.0
2025-06-30,corduroy,66.0
2025-07-31,corduroy,52.4
2025-08-31,corduroy,92.5
2025-09-30,corduroy,82.5
2025-10-31,corduroy,111.6
2025-11-30,corduroy,132.5
2025-12-31,corduroy,107.0
2026-01-31,corduroy,117.6
2026-02-28,corduroy,78.0
2026-03-31,corduroy,77.5
2026-04-30,corduroy,80.0
2026-05-31,corduroy,58.0
2026-06-30,corduroy,62.0
2026-07-31,corduroy,66.0
2026-08-31,corduroy,52.4
2026-09-30,corduroy,92.5
2026-10-31,corduroy,82.5
2026-11-30,corduroy,111.6
2026-12-31,corduroy,132.5
2027-01-31,corduroy,107.0
2027-02-28,corduroy,117.6
2027-03-31,corduroy,78.0
2027-04-30,corduroy,77.5
2027-05-31,corduroy,80.0
2027-06-30,corduroy,58.0
2027-07-31,corduroy,62.0
2027-08-31,corduroy,66.0
2027-09-30,corduroy,52.4
2027-10-31,corduroy,92.5
2027-11-30,corduroy,82.5
2023-12-31,cotton,144.0
2024-01-31,cotton,160.5
2024-02-29,cotton,148.5
2024-03-31,cotton,150.8
2024-04-30,cotton,147.5
2024-05-31,cotton,149.0
2024-06-30,cotton,148.8
2024-07-31,cotton,153.0
2024-08-31,cotton,151.5
2024-09-30,cotton,151.2
2024-10-31,cotton,151.5
2024-11-30,cotton,173.0
2024-12-31,cotton,157.6
2025-01-31,cotton,144.0
2025-02-28,cotton,160.5
2025-03-31,cotton,148.5
2025-04-30,cotton,150.8
2025-05-31,cotton,147.5
2025-06-30,cotton,149.0
2025-07-31,cotton,148.8
2025-08-31,cotton,153.0
2025-09-30,cotton,151.5
2025-10-31,cotton,151.2
2025-11-30,cotton,151.5
2025-12-31,cotton,173.0
2026-01-31,cotton,157.6
2026-02-28,cotton,144.0
2026-03-31,cotton,160.5
2026-04-30,cotton,148.5
2026-05-31,cotton,150.8
2026-06-30,cotton,147.5
2026-07-31,cotton,149.0
2026-08-31,cotton,148.8
2026-09-30,cotton,153.0
2026-10-31,cotton,151.5
2026-11-30,cotton,151.2
2026-12-31,cotton,151.5
2027-01-31,cotton,173.0
2027-02-28,cotton,157.6
2027-03-31,cotton,144.0
2027-04-30,cotton,160.5
2027-05-31,cotton,148.5
2027-06-30,cotton,150.8
2027-07-31,cotton,147.5
2027-08-31,cotton,149.0
2027-09-30,cotton,148.8
2027-10-31,cotton,153.0
2027-11-30,cotton,151.5
2023-12-31,denim,122.0
2024-01-31,denim,147.0
2024-02-29,denim,148.0
2024-03-31,denim,148.8
2024-04-30,denim,144.5
2024-05-31,denim,132.5
2024-06-30,denim,131.2
2024-07-31,denim,144.0
2024-08-31,denim,148.0
2024-09-30,denim,164.0
2024-10-31,denim,157.5
2024-11-30,denim,157.5
2024-12-31,denim,155.6
2025-01-31,denim,122.0
2025-02-28,denim,147.0
2025-03-31,denim,148.0
2025-04-30,denim,148.8
2025-05-31,denim,144.5
2025-06-30,denim,132.5
2025-07-31,denim,131.2
2025-08-31,denim,144.0
2025-09-30,denim,148.0
2025-10-31,denim,164.0
2025-11-30,denim,157.5
2025-12-31,denim,157.5
2026-01-31,denim,155.6
2026-02-28,denim,122.0
2026-03-31,denim,147.0
2026-04-30,denim,148.0
2026-05-31,denim,148.8
2026-06-30,denim,144.5
2026-07-31,denim,132.5
2026-08-31,denim,131.2
2026-09-30,denim,144.0
2026-10-31,denim,148.0
2026-11-30,denim,164.0
2026-12-31,denim,157.5
2027-01-31,denim,157.5
2027-02-28,denim,155.6
2027-03-31,denim,122.0
2027-04-30,denim,147.0
2027-05-31,denim,148.0
2027-06-30,denim,148.8
2027-07-31,denim,144.5
2027-08-31,denim,132.5
2027-09-30,denim,131.2
2027-10-31,denim,144.0
2027-11-30,denim,148.0
2023-12-31,fleece,108.0
2024-01-31,fleece,102.5
2024-02-29,fleece,76.5
2024-03-31,fleece,65.6
2024-04-30,fleece,58.0
2024-05-31,fleece,47.5
2024-06-30,fleece,50.0
2024-07-31,fleece,56.0
2024-08-31,fleece,74.5
2024-09-30,fleece,92.8
2024-10-31,fleece,122.0
2024-11-30,fleece,162.5
2024-12-31,fleece,154.8
2025-01-31,fleece,108.0
2025-02-28,fleece,102.5
2025-03-31,fleece,76.5
2025-04-30,fleece,65.6
2025-05-31,fleece,58.0
2025-06-30,fleece,47.5
2025-07-31,fleece,50.0
2025-08-31,fleece,56.0
2025-09-30,fleece,74.5
2025-10-31,fleece,92.8
2025-11-30,fleece,122.0
2025-12-31,fleece,162.5
2026-01-31,fleece,154.8
2026-02-28,fleece,108.0
2026-03-31,fleece,102.5
2026-04-30,fleece,76.5
2026-05-31,fleece,65.6
2026-06-30,fleece,58.0
2026-07-31,fleece,47.5
2026-08-31,fleece,50.0
2026-09-30,fleece,56.0
2026-10-31,fleece,74.5
2026-11-30,fleece,92.8
2026-12-31,fleece,122.0
2027-01-31,fleece,162.5
2027-02-28,fleece,154.8
2027-03-31,fleece,108.0
2027-04-30,fleece,102.5
2027-05-31,fleece,76.5
2027-06-30,fleece,65.6
2027-07-31,fleece,58.0
2027-08-31,fleece,47.5
2027-09-30,fleece,50.0
2027-10-31,fleece,56.0
2027-11-30,fleece,74.5
2023-12-31,lace,138.0
2024-01-31,lace,146.5
2024-02-29,lace,157.0
2024-03-31,lace,152.4
2024-04-30,lace,157.5
2024-05-31,lace,145.0
2024-06-30,lace,138.4
2024-07-31,lace,140.0
2024-08-31,lace,160.5
2024-09-30,lace,152.0
2024-10-31,lace,168.5
2024-11-30,lace,140.0
2024-12-31,lace,132.4
2025-01-31,lace,138.0
2025-02-28,lace,146.5
2025-03-31,lace,157.0
2025-04-30,lace,152.4
2025-05-31,lace,157.5
2025-06-30,lace,145.0
2025-07-31,lace,138.4
2025-08-31,lace,140.0
2025-09-30,lace,160.5
2025-10-31,lace,152.0
2025-11-30,lace,168.5
2025-12-31,lace,140.0
2026-01-31,lace,132.4
2026-02-28,lace,138.0
2026-03-31,lace,146.5
2026-04-30,lace,157.0
2026-05-31,lace,152.4
2026-06-30,lace,157.5
2026-07-31,lace,145.0
2026-08-31,lace,138.4
2026-09-30,lace,140.0
2026-10-31,lace,160.5
2026-11-30,lace,152.0
2026-12-31,lace,168.5
2027-01-31,lace,140.0
2027-02-28,lace,132.4
2027-03-31,lace,138.0
2027-04-30,lace,146.5
2027-05-31,lace,157.0
2027-06-30,lace,152.4
2027-07-31,lace,157.5
2027-08-31,lace,145.0
2027-09-30,lace,138.4
2027-10-31,lace,140.0
2027-11-30,lace,160.5
2023-12-31,leather,178.0
2024-01-31,leather,167.0
2024-02-29,leather,166.5
2024-03-31,leather,151.6
2024-04-30,leather,142.5
2024-05-31,leather,136.0
2024-06-30,leather,150.8
2024-07-31,leather,159.5
2024-08-31,leather,165.5
2024-09-30,leather,168.8
2024-10-31,leather,173.0
2024-11-30,leather,183.5
2024-12-31,leather,178.0
2025-01-31,leather,178.0
2025-02-28,leather,167.0
2025-03-31,leather,166.5
2025-04-30,leather,151.6
2025-05-31,leather,142.5
2025-06-30,leather,136.0
2025-07-31,leather,150.8
2025-08-31,leather,159.5
2025-09-30,leather,165.5
2025-10-31,leather,168.8
2025-11-30,leather,173.0
2025-12-31,leather,183.5
2026-01-31,leather,178.0
2026-02-28,leather,178.0
2026-03-31,leather,167.0
2026-04-30,leather,166.5
2026-05-31,leather,151.6
2026-06-30,leather,142.5
2026-07-31,leather,136.0
2026-08-31,leather,150.8
2026-09-30,leather,159.5
2026-10-31,leather,165.5
2026-11-30,leather,168.8
2026-12-31,leather,173.0
2027-01-31,leather,183.5
2027-02-28,leather,178.0
2027-03-31,leather,178.0
2027-04-30,leather,167.0
2027-05-31,leather,166.5
2027-06-30,leather,151.6
2027-07-31,leather,142.5
2027-08-31,leather,136.0
2027-09-30,leather,150.8
2027-10-31,leather,159.5
2027-11-30,leather,165.5
2023-12-31,linen,138.0
2024-01-31,linen,157.5
2024-02-29,linen,157.5
2024-03-31,linen,163.6
2024-04-30,linen,176.5
2024-05-31,linen,179.5
2024-06-30,linen,183.6
2024-07-31,linen,186.5
2024-08-31,linen,174.0
2024-09-30,linen,162.8
2024-10-31,linen,148.0
2024-11-30,linen,154.0
2024-12-31,linen,140.0
2025-01-31,linen,138.0
2025-02-28,linen,157.5
2025-03-31,linen,157.5
2025-04-30,linen,163.6
2025-05-31,linen,176.5
2025-06-30,linen,179.5
2025-07-31,linen,183.6
2025-08-31,linen,186.5
2025-09-30,linen,174.0
2025-10-31,linen,162.8
2025-11-30,linen,148.0
2025-12-31,linen,154.0
2026-01-31,linen,140.0
2026-02-28,linen,138.0
2026-03-31,linen,157.5
2026-04-30,linen,157.5
2026-05-31,linen,163.6
2026-06-30,linen,176.5
2026-07-31,linen,179.5
2026-08-31,linen,183.6
2026-09-30,linen,186.5
2026-10-31,linen,174.0
2026-11-30,linen,162.8
2026-12-31,linen,148.0
2027-01-31,linen,154.0
2027-02-28,linen,140.0
2027-03-31,linen,138.0
2027-04-30,linen,157.5
2027-05-31,linen,157.5
2027-06-30,linen,163.6
2027-07-31,linen,176.5
2027-08-31,linen,179.5
2027-09-30,linen,183.6
2027-10-31,linen,186.5
2027-11-30,linen,174.0
2023-12-31,muslin,70.0
2024-01-31,muslin,79.0
2024-02-29,muslin,85.0
2024-03-31,muslin,85.2
2024-04-30,muslin,74.5
2024-05-31,muslin,76.0
2024-06-30,muslin,90.0
2024-07-31,muslin,85.5
2024-08-31,muslin,70.5
2024-09-30,muslin,106.8
2024-10-31,muslin,81.0
2024-11-30,muslin,77.0
2024-12-31,muslin,74.4
2025-01-31,muslin,70.0
2025-02-28,muslin,79.0
2025-03-31,muslin,85.0
2025-04-30,muslin,85.2
2025-05-31,muslin,74.5
2025-06-30,muslin,76.0
2025-07-31,muslin,90.0
2025-08-31,muslin,85.5
2025-09-30,muslin,70.5
2025-10-31,muslin,106.8
2025-11-30,muslin,81.0
2025-12-31,muslin,77.0
2026-01-31,muslin,74.4
2026-02-28,muslin,70.0
2026-03-31,muslin,79.0
2026-04-30,muslin,85.0
2026-05-31,muslin,85.2
2026-06-30,muslin,74.5
2026-07-31,muslin,76.0
2026-08-31,muslin,90.0
2026-09-30,muslin,85.5
2026-10-31,muslin,70.5
2026-11-30,muslin,106.8
2026-12-31,muslin,81.0
2027-01-31,muslin,77.0
2027-02-28,muslin,74.4
2027-03-31,muslin,70.0
2027-04-30,muslin,79.0
2027-05-31,muslin,85.0
2027-06-30,muslin,85.2
2027-07-31,muslin,74.5
2027-08-31,muslin,76.0
2027-09-30,muslin,90.0
2027-10-31,muslin,85.5
2027-11-30,muslin,70.5
2023-12-31,nylon,144.0
2024-01-31,nylon,167.0
2024-02-29,nylon,164.5
2024-03-31,nylon,154.0
2024-04-30,nylon,158.0
2024-05-31,nylon,168.0
2024-06-30,nylon,168.8
2024-07-31,nylon,160.0
2024-08-31,nylon,145.5
2024-09-30,nylon,161.2
2024-10-31,nylon,154.5
2024-11-30,nylon,162.5
2024-12-31,nylon,167.6
2025-01-31,nylon,144.0
2025-02-28,nylon,167.0
2025-03-31,nylon,164.5
2025-04-30,nylon,154.0
2025-05-31,nylon,158.0
2025-06-30,nylon,168.0
2025-07-31,nylon,168.8
2025-08-31,nylon,160.0
2025-09-30,nylon,145.5
2025-10-31,nylon,161.2
2025-11-30,nylon,154.5
2025-12-31,nylon,162.5
2026-01-31,nylon,167.6
2026-02-28,nylon,144.0
2026-03-31,nylon,167.0
2026-04-30,nylon,164.5
2026-05-31,nylon,154.0
2026-06-30,nylon,158.0
2026-07-31,nylon,168.0
2026-08-31,nylon,168.8
2026-09-30,nylon,160.0
2026-10-31,nylon,145.5
2026-11-30,nylon,161.2
2026-12-31,nylon,154.5
2027-01-31,nylon,162.5
2027-02-28,nylon,167.6
2027-03-31,nylon,144.0
2027-04-30,nylon,167.0
2027-05-31,nylon,164.5
2027-06-30,nylon,154.0
2027-07-31,nylon,158.0
2027-08-31,nylon,168.0
2027-09-30,nylon,168.8
2027-10-31,nylon,160.0
2027-11-30,nylon,145.5
2023-12-31,polyester,140.0
2024-01-31,polyester,145.0
2024-02-29,polyester,142.5
2024-03-31,polyester,140.8
2024-04-30,polyester,147.5
2024-05-31,polyester,155.0
2024-06-30,polyester,152.8
2024-07-31,polyester,157.5
2024-08-31,polyester,150.5
2024-09-30,polyester,154.4
2024-10-31,polyester,170.5
2024-11-30,polyester,158.5
2024-12-31,polyester,166.4
2025-01-31,polyester,140.0
2025-02-28,polyester,145.0
2025-03-31,polyester,142.5
2025-04-30,polyester,140.8
2025-05-31,polyester,147.5
2025-06-30,polyester,155.0
2025-07-31,polyester,152.8
2025-08-31,polyester,157.5
2025-09-30,polyester,150.5
2025-10-31,polyester,154.4
2025-11-30,polyester,170.5
2025-12-31,polyester,158.5
2026-01-31,polyester,166.4
2026-02-28,polyester,140.0
2026-03-31,polyester,145.0
2026-04-30,polyester,142.5
2026-05-31,polyester,140.8
2026-06-30,polyester,147.5
2026-07-31,polyester,155.0
2026-08-31,polyester,152.8
2026-09-30,polyester,157.5
2026-10-31,polyester,150.5
2026-11-30,polyester,154.4
2026-12-31,polyester,170.5
2027-01-31,polyester,158.5
2027-02-28,polyester,166.4
2027-03-31,polyester,140.0
2027-04-30,polyester,145.0
2027-05-31,polyester,142.5
2027-06-30,polyester,140.8
2027-07-31,polyester,147.5
2027-08-31,polyester,155.0
2027-09-30,polyester,152.8
2027-10-31,polyester,157.5
2027-11-30,polyester,150.5
2023-12-31,satin,166.0
2024-01-31,satin,182.0
2024-02-29,satin,178.5
2024-03-31,satin,168.0
2024-04-30,satin,183.5
2024-05-31,satin,157.0
2024-06-30,satin,158.8
2024-07-31,satin,152.5
2024-08-31,satin,150.0
2024-09-30,satin,178.0
2024-10-31,satin,182.5
2024-11-30,satin,179.5
2024-12-31,satin,170.0
2025-01-31,satin,166.0
2025-02-28,satin,182.0
2025-03-31,satin,178.5
2025-04-30,satin,168.0
2025-05-31,satin,183.5
2025-06-30,satin,157.0
2025-07-31,satin,158.8
2025-08-31,satin,152.5
2025-09-30,satin,150.0
2025-10-31,satin,178.0
2025-11-30,satin,182.5
2025-12-31,satin,179.5
2026-01-31,satin,170.0
2026-02-28,satin,166.0
2026-03-31,satin,182.0
2026-04-30,satin,178.5
2026-05-31,satin,168.0
2026-06-30,satin,183.5
2026-07-31,satin,157.0
2026-08-31,satin,158.8
2026-09-30,satin,152.5
2026-10-31,satin,150.0
2026-11-30,satin,178.0
2026-12-31,satin,182.5
2027-01-31,satin,179.5
2027-02-28,satin,170.0
2027-03-31,satin,166.0
2027-04-30,satin,182.0
2027-05-31,satin,178.5
2027-06-30,satin,168.0
2027-07-31,satin,183.5
2027-08-31,satin,157.0
2027-09-30,satin,158.8
2027-10-31,satin,152.5
2027-11-30,satin,150.0
2023-12-31,silk,178.0
2024-01-31,silk,174.0
2024-02-29,silk,165.5
2024-03-31,silk,164.8
2024-04-30,silk,172.0
2024-05-31,silk,155.0
2024-06-30,silk,148.8
2024-07-31,silk,146.0
2024-08-31,silk,164.5
2024-09-30,silk,170.4
2024-10-31,silk,161.0
2024-11-30,silk,167.5
2024-12-31,silk,162.0
2025-01-31,silk,178.0
2025-02-28,silk,174.0
2025-03-31,silk,165.5
2025-04-30,silk,164.8
2025-05-31,silk,172.0
2025-06-30,silk,155.0
2025-07-31,silk,148.8
2025-08-31,silk,146.0
2025-09-30,silk,164.5
2025-10-31,silk,170.4
2025-11-30,silk,161.0
2025-12-31,silk,167.5
2026-01-31,silk,162.0
2026-02-28,silk,178.0
2026-03-31,silk,174.0
2026-04-30,silk,165.5
2026-05-31,silk,164.8
2026-06-30,silk,172.0
2026-07-31,silk,155.0
2026-08-31,silk,148.8
2026-09-30,silk,146.0
2026-10-31,silk,164.5
2026-11-30,silk,170.4
2026-12-31,silk,161.0
2027-01-31,silk,167.5
2027-02-28,silk,162.0
2027-03-31,silk,178.0
2027-04-30,silk,174.0
2027-05-31,silk,165.5
2027-06-30,silk,164.8
2027-07-31,silk,172.0
2027-08-31,silk,155.0
2027-09-30,silk,148.8
2027-10-31,silk,146.0
2027-11-30,silk,164.5
2023-12-31,spandex,130.0
2024-01-31,spandex,161.5
2024-02-29,spandex,163.5
2024-03-31,spandex,159.2
2024-04-30,spandex,176.5
2024-05-31,spandex,168.0
2024-06-30,spandex,166.8
2024-07-31,spandex,166.5
2024-08-31,spandex,176.5
2024-09-30,spandex,156.4
2024-10-31,spandex,173.0
2024-11-30,spandex,134.5
2024-12-31,spandex,150.4
2025-01-31,spandex,130.0
2025-02-28,spandex,161.5
2025-03-31,spandex,163.5
2025-04-30,spandex,159.2
2025-05-31,spandex,176.5
2025-06-30,spandex,168.0
2025-07-31,spandex,166.8
2025-08-31,spandex,166.5
2025-09-30,spandex,176.5
2025-10-31,spandex,156.4
2025-11-30,spandex,173.0
2025-12-31,spandex,134.5
2026-01-31,spandex,150.4
2026-02-28,spandex,130.0
2026-03-31,spandex,161.5
2026-04-30,spandex,163.5
2026-05-31,spandex,159.2
2026-06-30,spandex,176.5
2026-07-31,spandex,168.0
2026-08-31,spandex,166.8
2026-09-30,spandex,166.5
2026-10-31,spandex,176.5
2026-11-30,spandex,156.4
2026-12-31,spandex,173.0
2027-01-31,spandex,134.5
2027-02-28,spandex,150.4
2027-03-31,spandex,130.0
2027-04-30,spandex,161.5
2027-05-31,spandex,163.5
2027-06-30,spandex,159.2
2027-07-31,spandex,176.5
2027-08-31,spandex,168.0
2027-09-30,spandex,166.8
2027-10-31,spandex,166.5
2027-11-30,spandex,176.5
2023-12-31,velvet,160.0
2024-01-31,velvet,151.5
2024-02-29,velvet,144.5
2024-03-31,velvet,130.8
2024-04-30,velvet,118.0
2024-05-31,velvet,116.0
2024-06-30,velvet,108.0
2024-07-31,velvet,117.5
2024-08-31,velvet,139.0
2024-09-30,velvet,145.6
2024-10-31,velvet,160.0
2024-11-30,velvet,185.0
2024-12-31,velvet,177.6
2025-01-31,velvet,160.0
2025-02-28,velvet,151.5
2025-03-31,velvet,144.5
2025-04-30,velvet,130.8
2025-05-31,velvet,118.0
2025-06-30,velvet,116.0
2025-07-31,velvet,108.0
2025-08-31,velvet,117.5
2025-09-30,velvet,139.0
2025-10-31,velvet,145.6
2025-11-30,velvet,160.0
2025-12-31,velvet,185.0
2026-01-31,velvet,177.6
2026-02-28,velvet,160.0
2026-03-31,velvet,151.5
2026-04-30,velvet,144.5
2026-05-31,velvet,130.8
2026-06-30,velvet,118.0
2026-07-31,velvet,116.0
2026-08-31,velvet,108.0
2026-09-30,velvet,117.5
2026-10-31,velvet,139.0
2026-11-30,velvet,145.6
2026-12-31,velvet,160.0
2027-01-31,velvet,185.0
2027-02-28,velvet,177.6
2027-03-31,velvet,160.0
2027-04-30,velvet,151.5
2027-05-31,velvet,144.5
2027-06-30,velvet,130.8
2027-07-31,velvet,118.0
2027-08-31,velvet,116.0
2027-09-30,velvet,108.0
2027-10-31,velvet,117.5
2027-11-30,velvet,139.0
2023-12-31,wool,50.0
2024-01-31,wool,82.5
2024-02-29,wool,34.0
2024-03-31,wool,30.4
2024-04-30,wool,26.0
2024-05-31,wool,26.0
2024-06-30,wool,22.0
2024-07-31,wool,20.5
2024-08-31,wool,30.5
2024-09-30,wool,34.4
2024-10-31,wool,40.5
2024-11-30,wool,47.0
2024-12-31,wool,46.8
2025-01-31,wool,50.0
2025-02-28,wool,82.5
2025-03-31,wool,34.0
2025-04-30,wool,30.4
2025-05-31,wool,26.0
2025-06-30,wool,26.0
2025-07-31,wool,22.0
2025-08-31,wool,20.5
2025-09-30,wool,30.5
2025-10-31,wool,34.4
